name,born,died,page
"RADFORD, JOHN WILLIAM STORRIER  ",14 FEBRUARY 1930,27 NOVEMBER 2001),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1506
"RAE, THOMAS  ",04 SEPTEMBER 1819,10 DECEMBER 1862),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/789
"RAFFERTY, JOSEPH ANSTICE  ",10 JANUARY 1911,14 JUNE 2000),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1507
"RAMSAY, JOHN  ",16 FEBRUARY 1810,18 MAY 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/790
"RAMSAY, ROBERT  ",16 FEBRUARY 1842,23 MAY 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/791
"RAMSAY, ALEXANDER GORDON CULBERT  ",10 OCTOBER 1863,02 AUGUST 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1508
"RAMSAY, JAMES HALFORD  ",12 FEBRUARY 1930,22 AUGUST 2013),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1510
"RAMSAY, SIMON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/104
"RANDALL, THOMAS  ",1827,01 OCTOBER 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/792
"RANDLES, PETER JOHN  ",10 JUNE 1923,12 APRIL 2008),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1511
"RANKIN, ROBERT CHISHOLM  ",18 SEPTEMBER 1896,28 MAY 1955),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1509
"RAWSON, HUGH  ",26 NOVEMBER 1840,22 JANUARY 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/793
"RAWSON, ROY ROBERT  ",11 MAY 1898,14 JUNE 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1512
"RAY, MARGARET ELIZABETH  ",15 JULY 1933,31 MAY 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1514
"READ, CHARLES  ",UNKNOWN,03 MARCH 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/794
"REAY, WILLIAM THOMAS  ",10 NOVEMBER 1858,11 NOVEMBER 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1515
"REES, JOHN  ",19 MARCH 1825,07 MAY 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/795
"REES, RICHARD BLOOMFIELD  ",21 MAY 1859,25 JUNE 1935),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1516
"REESE, WILLIAM FREDERICK LLEWELLYN   ",05 APRIL 1919,22 SEPTEMBER 1982),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1518
"REEVES, ISAAC GODFREY  ",1809,20 DECEMBER 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/796
"REID, DAVID  ",21 APRIL 1821,07 MAY 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/797
"REID, ROBERT DYCE  ",03 AUGUST 1839,05 SEPTEMBER 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/799
"REID, ROBERT  ",17 OCTOBER 1842,12 MAY 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/798
"REID, SQUIRE HORACE  ",11 SEPTEMBER 1887,29 JULY 1949),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1517
"REID, GEORGE OSWALD  ",22 JULY 1903,18 FEBRUARY 1993),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1519
"REID, LEONARD STANLEY  ",21 SEPTEMBER 1916,22 APRIL 2003),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1520
"REID,  BRUCE  ",30 JULY 1935,24 MAY 2020),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1521
"REMINGTON, KEITH HENRY  ",29 APRIL 1923,23 MARCH 2020),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1065
"REYNOLDS, SYLVANUS PARTRIDGE  ",1857,28 FEBRUARY 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/800
"REYNOLDS, EDWARD RUSSELL THOMAS  ",16 APRIL 1892,13 JULY 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1522
"REYNOLDS, THOMAS CARTER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1523
"RICARDO, SIDNEY  ",09 APRIL 1819,14 JANUARY 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/801
"RICHARDSON, JOHN  ",07 JUNE 1819,12 MARCH 1876),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/802
"RICHARDSON, RICHARD  ",1825,22 SEPTEMBER 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/803
"RICHARDSON, HORACE FRANK  ",08 NOVEMBER 1854,28 OCTOBER 1935),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1524
"RICHARDSON, JOHN INGLES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1525
"RICHARDSON, FIONA CATHERINE ALISON  ",22 NOVEMBER 1966,23 AUGUST 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1712
"RIDDELL, JOHN CARRE  ",04 JUNE 1809,22 DECEMBER 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/804
"RING, EUGENE CORNELIUS   ",13 AUGUST 1899,29 OCTOBER 1975),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1505
"RITCHIE, ROBERT BLACKWOOD  ",12 FEBRUARY 1861,20 DECEMBER 1937),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1066
"ROBERTS, WILLIAM HENRY  ",1847,05 NOVEMBER 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/805
"ROBERTS, GEORGE ERNEST  ",15 FEBRUARY 1868,25 NOVEMBER 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1513
"ROBERTSON, FRANCIS  ",27 DECEMBER 1826,11 MARCH 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/806
"ROBERTSON, WILLIAM  ",29 MARCH 1839,23 JUNE 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/807
"ROBERTSON, ANDREW ROBERT  ",23 NOVEMBER 1865,28 JUNE 1934),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1067
"ROBINSON, ROBERT  ",1812,14 MAY 1852),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/808
"ROBINSON, WILLIAM  ",1820,06 JULY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/809
"ROBINSON, ARTHUR  ",23 APRIL 1872,17 MAY 1945),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1526
"ROBINSON, ANTHONY GERARD PETER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/324
"RODDA, LEONARD ROY  ",17 APRIL 1892,27 JANUARY 1970),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1527
"ROGERS, JOHN WILLIAM FOSTER  ",16 JULY 1842,02 DECEMBER 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/810
"ROGERS, ALEXANDER  ",04 JUNE 1869,02 AUGUST 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1501
"ROLFE, GEORGE  ",UNKNOWN,18 DECEMBER 1871),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/811
"ROMANES, GLENYYS DOROTHY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/325
"RONALDS, ANDREW  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1145
"ROOPE, WILLIAM  ",1802,20 AUGUST 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/812
"ROPER, THOMAS WILLIAM  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1528
"ROSE, JAMES MARMADUKE  ",31 AUGUST 1849,18 AUGUST 1939),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/813
"ROSS, JAMES HUNTER  ",10 FEBRUARY 1788,18 SEPTEMBER 1865),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/815
"ROSS, ALFRED  ",03 NOVEMBER 1816,18 JULY 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/814
"ROSS, WILLIAM  ",27 MAY 1827,22 FEBRUARY 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/816
"ROSS, JOHN WILLIAM GAMALIEL  ",17 OCTOBER 1940,06 SEPTEMBER 2003),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/326
"ROSS-EDWARDS, PETER  ",11 JULY 1922,10 OCTOBER 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1529
"ROSSITER, JOHN FREDERICK  ",17 DECEMBER 1913,18 JANUARY 1988),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1530
"ROUGET, JAMES  ",15 APRIL 1866,10 JUNE 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1531
"ROWE, BARRY JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1532
"ROWE, GARY JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/328
"RUSSELL, ANDREW  ",14 JANUARY 1809,10 DECEMBER 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/818
"RUSSELL, ALEXANDER  ",1810,27 NOVEMBER 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/817
"RUSSELL, THOMAS  ",04 FEBRUARY 1828,06 JULY 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/822
"RUSSELL, PHILIP  ",20 JUNE 1822,14 JULY 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/821
"RUSSELL, JAMES  ",1829,17 OCTOBER 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/820
"RUSSELL, GEORGE  ",1856,08 MAY 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/819
"RUTHERFORD, ANDREW  ",03 SEPTEMBER 1808,23 JULY 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/823
"RUTHERFORD, GIDEON  ",1820,03 DECEMBER 1860),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/824
"RUTHVEN, WILLIAM  ",21 MAY 1893,12 JANUARY 1970),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1533
"RUTLEDGE, WILLIAM  ",22 JANUARY 1806,01 JUNE 1876),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/825
"RYALL, DEANNE SHARON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/92
"RYAN, THOMAS  ",09 JANUARY 1870,22 NOVEMBER 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1534
"RYAN, PETER JULIAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/329
"RYLAH, ARTHUR GORDON  ",03 OCTOBER 1909,20 SEPTEMBER 1974),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1535
"SACHSE, ARTHUR OTTO  ",22 MAY 1860,25 JULY 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/289
"SADLER, JAMES THOMAS  ",FEBRUARY 1863,30 AUGUST 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/826
"SAINSBURY, HENRY HEAD  ",04 OCTOBER 1837,30 AUGUST 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/827
"SALMON, PHILIP MELVILLE  ",16 NOVEMBER 1849,07 JULY 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/829
"SALMON, CHARLES CARTY  ",29 JULY 1861,15 SEPTEMBER 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/828
"SALTAU, MARCUS  ",17 JUNE 1869,21 JULY 1945),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1537
"SALTMARSH, DONALD NEVILLE  ",06 APRIL 1934,03 NOVEMBER 2006),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1538
"SAMUEL, SAMUEL  ",1836,27 JULY 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/830
"SANDON, MALCOLM JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1539
"SANDS, GEORGE JOHN  ",07 SEPTEMBER 1821,05 MARCH 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/831
"SANGSTER, GEORGE  ",23 JUNE 1845,08 APRIL 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/832
"SARGEANT, CHARLES  ",01 JULY 1836,03 JULY 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/833
"SARGOOD, FREDERICK JAMES  ",UNKNOWN,15 JANUARY 1873),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/834
"SARGOOD, FREDERICK THOMAS  ",30 MAY 1834,02 JANUARY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/835
"SATCHELL, JESSIE EDWARD  ",07 JANUARY 1875,08 APRIL 1955),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1536
"SAVAGE, RUSSELL IRWIN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/332
"SCANLAN, ALAN HENRY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1540
"SCHEFFER, JOHAN   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1690
"SCHILLING,  ROY  ",30 AUGUST 1896,07 MAY 1979),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1541
"SCHINTLER,  ROY  ",14 JUNE 1900,13 JANUARY 1977),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1542
"SCOTT, THOMAS  ",26 APRIL 1842,19 FEBRUARY 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/836
"SCOTT, GORDON LINCOLN  ",28 AUGUST 1908,28 AUGUST 1965),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1543
"SCULLY, FRANCIS RAYMOND  ",27 JANUARY 1920,12 AUGUST 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1546
"SEITZ, GEORGE  ",29 SEPTEMBER 1941,05 JUNE 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1547
"SERCOMBE, ROBERT CHARLES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/151
"SERJEANT, ROBERT MALACHY  ",21 DECEMBER 1828,25 OCTOBER 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/838
"SERJEANT, JOHN  ",1845,23 DECEMBER 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/837
"SERVICE, JAMES  ",27 NOVEMBER 1823,12 APRIL 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/839
"SETCHES, KAY PATRICIA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1544
"SGRO, GIOVANNI ANTONIO  ",16 FEBRUARY 1931,18 MARCH 2019),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1548
"SHACKELL, JAMES  ",12 JANUARY 1833,25 APRIL 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/840
"SHARDEY, HELEN JEAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/333
"SHARPE, GEORGE  ",1822,11 NOVEMBER 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/841
"SHAW, GEOFF  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1718
"SHEEHAN, JOHN JAMES  ",09 MAY 1916,04 JUNE 1984),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1552
"SHEEHAN, ANTHONY JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1549
"SHEEHAN, FRANCIS PATRICK  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1550
"SHEEHY, MAURICE PATRICK   ",12 JUNE 1893,10 JANUARY 1961),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1545
"SHELL, HAYDEN KEVIN  ",23 MARCH 1937,01 NOVEMBER 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1553
"SHEPHERD, ALFRED ERNEST  ",06 JANUARY 1901,12 SEPTEMBER 1958),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1554
"SHERWIN, JOHN  ",10 JUNE 1811,10 AUGUST 1868),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/980
"SHIELDS, CLIVE  ",28 APRIL 1879,04 SEPTEMBER 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1069
"SHIELS, WILLIAM  ",03 DECEMBER 1848,17 DECEMBER 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/843
"SHILTON, LESLIE VICTOR  ",04 NOVEMBER 1923,16 DECEMBER 1995),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1551
"SHOPPEE, CHARLES COLLETT  ",14 JULY 1833,20 APRIL 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1555
"SIBREE, PRUDENCE ANNE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1556
"SIDIROPOULOS, THEO  ",24 JULY 1924,07 OCTOBER 1998),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1557
"SIMMIE, GEORGE  ",24 MAY 1828,26 MARCH 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/842
"SIMMONDS, JAMES LIONEL  ",09 OCTOBER 1926,03 MARCH 2007),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1559
"SIMPSON, WALTER PEACOCK  ",11 DECEMBER 1826,17 DECEMBER 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/844
"SIMPSON, JOHN HAMILTON  ",08 FEBRUARY 1929,19 MAY 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1560
"SIMSON, ROBERT  ",04 OCTOBER 1819,03 NOVEMBER 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/845
"SINCLAIR, JOHN  ",20 FEBRUARY 1806,05 DECEMBER 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/846
"SINCLAIR, OWEN  ",13 NOVEMBER 1862,17 JUNE 1927),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1558
"SITWELL, ROBERT SACHEVERELL WILMOT  ",23 NOVEMBER 1823,15 NOVEMBER 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/847
"SKEGGS, BRUCE ALBERT EDWARD  ",11 OCTOBER 1932,21 MARCH 2013),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1561
"SKENE, WILLIAM  ",01 JUNE 1809,25 MARCH 1877),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/848
"SKINNER, HENRY HAWKINS  ",11 MAY 1851,14 FEBRUARY 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1562
"SLADEN, CHARLES  ",28 AUGUST 1816,22 FEBRUARY 1884),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/849
"SLATER, WILLIAM  ",20 JANUARY 1890,19 JUNE 1960),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1565
"SMITH, JOHN THOMAS  ",28 MAY 1816,30 JANUARY 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/855
"SMITH, LOUIS LAWRENCE  ",15 MAY 1830,08 JULY 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/856
"SMITH, ALEXANDER JOHN  ",20 DECEMBER 1812,07 SEPTEMBER 1872),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/850
"SMITH, WILLIAM COLLARD  ",19 JULY 1830,20 OCTOBER 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/859
"SMITH, GEORGE VERNEY  ",UNKNOWN,27 DECEMBER 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/852
"SMITH, GEORGE PATON  ",07 OCTOBER 1829,06 DECEMBER 1877),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/854
"SMITH, ROBERT MURRAY  ",29 OCTOBER 1831,31 AUGUST 1921),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/857
"SMITH, ALEXANDER KENNEDY  ",07 JULY 1824,16 JANUARY 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/853
"SMITH, CHARLES  ",05 AUGUST 1833,25 SEPTEMBER 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/851
"SMITH, THOMAS  ",1846,05 AUGUST 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/858
"SMITH, EDMUND EDMONDS  ",17 JANUARY 1847,13 APRIL 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1564
"SMITH, DAVID  ",18 NOVEMBER 1861,24 JANUARY 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1563
"SMITH, WILLIAM KENNEDY  ",16 MARCH 1888,10 APRIL 1933),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1572
"SMITH, HERBERT HENRY  ",29 JANUARY 1871,25 NOVEMBER 1935),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1568
"SMITH,  VINTON  ",03 NOVEMBER 1897,22 JULY 1952),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1570
"SMITH, JOSEPH HENRY  ",17 MARCH 1904,02 APRIL 1993),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1571
"SMITH, ARTHUR  ",02 MARCH 1902,09 OCTOBER 1981),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1566
"SMITH, AUREL VERNON  ",20 JUNE 1915,06 FEBRUARY 2011),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1567
"SMITH, IAN WINTON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1569
"SMITH, ERNEST   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/334
"SMITH, KENNETH MAURICE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/336
"SMITH, WENDY IRENE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/337
"SMITH, ROBERT FREDERICK  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/315
"SMYTH, GEORGE ALLEN  ",UNKNOWN,28 FEBRUARY 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/861
"SMYTH, FREDERICK LEOPOLD  ",1816,08 MARCH 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/860
"SNIDER, BARON DAVID  ",12 SEPTEMBER 1917,29 DECEMBER 1966),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1573
"SNODGRASS, PETER  ",29 SEPTEMBER 1817,25 NOVEMBER 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/862
"SNOWBALL, JOSHUA  ",12 MAY 1821,09 SEPTEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/863
"SNOWBALL, OSWALD ROBINSON  ",18 JULY 1859,16 MARCH 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1574
"SNOWDEN, ARTHUR  ",29 JULY 1829,18 JUNE 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/864
"SOLLY, ROBERT HENRY  ",09 SEPTEMBER 1859,05 JUNE 1932),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1577
"SPENSLEY, HOWARD  ",1837,08 AUGUST 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/865
"SPIERS, JOHN POLLOCK  ",28 OCTOBER 1855,05 JUNE 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/866
"SPLATT, WILLIAM FRANCIS  ",14 APRIL 1811,17 OCTOBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/869
"SPRINGLE, NINA MEREDITH  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/119
"SPRY, GARRY HOWARD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/168
"SPYKER, PETER CORNELIS  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1578
"STACEY, NEIL FRANK  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1579
"STANBRIDGE, WILLIAM EDWARD  ",01 DECEMBER 1817,05 APRIL 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/870
"STANISTREET, JOHN  ",07 APRIL 1913,30 OCTOBER 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1575
"STANLEY, ROBERT  ",1847,23 AUGUST 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1576
"STAPLETON, MICHAEL  ",1854,09 NOVEMBER 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/867
"STAUGHTON, SAMUEL THOMAS  ",17 NOVEMBER 1838,29 AUGUST 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/868
"STAUGHTON, SAMUEL THOMAS   ",30 DECEMBER 1876,20 MAY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1580
"STAWELL, WILLIAM FOSTER  ",27 JUNE 1815,12 MARCH 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/871
"STEGGALL, BARRY EDWARD HECTOR  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1581
"STEINFELD, EMANUEL  ",01 NOVEMBER 1828,16 APRIL 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/872
"STENSHOLT, ROBERT EINAR  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/340
"STEPHEN, GEORGE MILNER  ",18 DECEMBER 1812,16 JANUARY 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/873
"STEPHEN, JAMES WILBERFORCE  ",10 APRIL 1822,14 AUGUST 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/874
"STEPHEN, WILLIAM FRANCIS  ",23 JULY 1921,05 APRIL 2013),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1582
