name,born,died,page
"BERRY, GRAHAM  ",28 AUGUST 1822,25 JANUARY 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/227
"BEST, ROBERT WALLACE  ",18 JUNE 1856,27 MARCH 1946),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/230
"BEST, RONALD ALEXANDER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/207
"BILDSTIEN, CRAIG STEPHEN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/136
"BILLING, NORMAN ALEXANDER WILLIAM  ",15 JANUARY 1913,01 NOVEMBER 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1022
"BILLSON, GEORGE  ",12 JANUARY 1817,09 FEBRUARY 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/236
"BILLSON, JOHN WILLIAM  ",10 JANUARY 1862,23 DECEMBER 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1025
"BILLSON, ALFRED ARTHUR  ",11 JANUARY 1858,31 OCTOBER 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1024
"BINDON, SAMUEL HENRY  ",02 OCTOBER 1812,01 AUGUST 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/237
"BIRD, JOHN  ",20 MAY 1841,22 MARCH 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/265
"BIRRELL, HAYDEN WILSON  ",05 FEBRUARY 1923,24 DECEMBER 1994),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1026
"BIRRELL, MARK ALEXANDER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1028
"BISHOP, BARRY WILFRED  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/209
"BLACK, NIEL  ",26 AUGUST 1804,15 MAY 1880),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/254
"BLACK, STEUART GLADSTONE  ",14 APRIL 1862,03 MARCH 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1029
"BLACKBURN, MAURICE MCCRAE  ",19 NOVEMBER 1880,31 MARCH 1944),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1032
