name,page,house,elected,electorate,retired
"Donaldson, Hon Bruce Kirwan",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/458CC7C94D80AD39482577E50028A5BE?OpenDocument#current,MLC,22 May 1993,Agricultural,2009
"Doney, Victor",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9950FECF8A325729482577E50028A5BF?OpenDocument#current,MLA,7 November 1928,Williams-Narrogin,1956
"Donovan, Francis Anthony",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/368317BD0DE67B14482577E50028A5C0?OpenDocument#current,MLA,9 May 1987,Morley-Swan,1993
"Dooley, Bronterre Washington",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B7F5A6DEDB2EB9CA482577E50028A5C1?OpenDocument#current,MLA,3 October 1911,Geraldton,1913
"Doust, Miss Catherine (Kate) Esther",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C21D4C189D8D55BF482577E50028A5C3?OpenDocument#current,MLC,22 May 2001,South Metropolitan,
"Doust, Clarence Isaac",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A3B618DB0B594698482577E50028A5C4?OpenDocument#current,MLA,15 February 1936,Nelson,1939
"Dowding, Peter M'Callum",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/36ABF65F679AFF0C482577E50028A5C5?OpenDocument#current,MLC MLA,22 May 1980,North; Maylands,1990
"Draper, Thomas Percy",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/278C9A59B4BF18B2482577E50028A5C7?OpenDocument#current,MLA,2 September 1907,West Perth,1921
"Drew, John Michael",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7486F20721A57429482577E50028A5C8?OpenDocument#current,MLC,22 May 1900,Central,1947
"Drummond, James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C6499014206B133648257E5A002B6F33?OpenDocument#current,MLC,31 October 1870,Toodyay,1873
"Duff, Thomas",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/05770B2B66A1AF67482577E50028A5C9?OpenDocument#current,MLA,14 September 1918,Claremont,1921
"Duffell, Joseph",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1CE1FF95A255AE2F482577E50028A5CA?OpenDocument#current,MLC,22 May 1914,Metropolitan-Suburban,1926
