name,page
"GAFFNEY, James Joseph",https://www.parliament.tas.gov.au/history/tasparl/gaffneyj264.htm
"GAFFNEY, Michael Victor",https://www.parliament.tas.gov.au/history/tasparl/gaffneym749.htm
"GAHA, John Francis",https://www.parliament.tas.gov.au/history/tasparl/gahaj420.htm
"GANT, Tetley",https://www.parliament.tas.gov.au/history/tasparl/ganttJ.htm
"GARD, Michael Shane",https://www.parliament.tas.gov.au/history/tasparl/gardm710.htm
"GAYER, Robert",https://www.parliament.tas.gov.au/history/tasparl/gayerr164.htm
"GELL, Philip Hoskins",https://www.parliament.tas.gov.au/history/tasparl/gellp44.htm
"GELLIBRAND, Thomas Lloyd",https://www.parliament.tas.gov.au/history/tasparl/gellibrandt15.htm
"GELLIBRAND, Walter Angus Bethune",https://www.parliament.tas.gov.au/history/tasparl/gellibrandwF.htm
"GELLIBRAND, William St Paul",https://www.parliament.tas.gov.au/history/tasparl/gellibrandw238.htm
"GIBLIN, Edward Owen",https://www.parliament.tas.gov.au/history/tasparl/gibline225.htm
"GIBLIN, Lyndhurst Falkiner",https://www.parliament.tas.gov.au/history/tasparl/giblinl331.htm
"GIBLIN, William Robert",https://www.parliament.tas.gov.au/history/tasparl/giblinw118.htm
"GIBSON, Christopher Arthur",https://www.parliament.tas.gov.au/history/tasparl/gibsonc682.htm
"GIBSON, George",https://www.parliament.tas.gov.au/history/tasparl/gibsong96.htm
"GIBSON, James Alexander",https://www.parliament.tas.gov.au/history/tasparl/gibsonj.htm
"GIBSON, James",https://www.parliament.tas.gov.au/history/tasparl/gibsonj205.htm
"GIBSON, John Blackler",https://www.parliament.tas.gov.au/history/tasparl/gibsonj291.htm
"GIBSON, William George",https://www.parliament.tas.gov.au/history/tasparl/gibsonw272.htm
"GIBSON, William",https://www.parliament.tas.gov.au/history/tasparl/gibsonw48.htm
"GIDDINGS, Larissa Tahireh",https://www.parliament.tas.gov.au/history/tasparl/giddings703.htm
"GILL, Henry Horatio",https://www.parliament.tas.gov.au/history/tasparl/gillh217.htm
"GILMORE, George Crosby",https://www.parliament.tas.gov.au/history/tasparl/gilmoreg238.htm
"GILMORE, George",https://www.parliament.tas.gov.au/history/tasparl/gilmoreg162.htm
"GILMOUR, Stephen Bernard",https://www.parliament.tas.gov.au/history/tasparl/gilmours617.htm
"GINN, Ross Winnington",https://www.parliament.tas.gov.au/history/tasparl/ginnr667.htm
"GLEADOW, John Ward",https://www.parliament.tas.gov.au/history/tasparl/gleadowj95.htm
"GOODLUCK, Bruce John",https://www.parliament.tas.gov.au/history/tasparl/goodluckb704.htm
"GOODWIN, Vanessa",https://www.parliament.tas.gov.au/history/tasparl/goodwin750.htm
,https://www.parliament.tas.gov.au/history/tasparl/goodwin750.htm
