name,page,electorate,from_to,died
"JARRATT, Janice Heather",https://www.parliament.qld.gov.au/members/former/bio?id=3021484817,Whitsunday,17 Feb 2001 - 23 Mar 2012,
"JENKINSON, Charles Moffat",https://www.parliament.qld.gov.au/members/former/bio?id=3418405435,"Fassifern, Wide Bay",19 Mar 1898 - 2 Oct 1909,3 July 1954
"JENNINGS, Douglas Bernard",https://www.parliament.qld.gov.au/members/former/bio?id=375724581,Southport,29 Nov 1980 - 9 Apr 1987,9 April 1987
"JENSEN, Eugene Dubois",https://www.parliament.qld.gov.au/members/former/bio?id=2640823934,Bundaberg,17 May 1969 - 12 Nov 1977,1 July 2003
"JENSEN, Magnus",https://www.parliament.qld.gov.au/members/former/bio?id=2031479120,Legislative Council,4 May 1904 - 16 May 1915,16 May 1915
"JESSON, Cecil George",https://www.parliament.qld.gov.au/members/former/bio?id=528654797,"Hinchinbrook, Kennedy",11 May 1935 - 28 May 1960,25 December 1961
"JESSOP, John Shillito",https://www.parliament.qld.gov.au/members/former/bio?id=437084643,Dalby,31 Jan 1882 - 29 Apr 1893,4 July 1895
"JOHNSON, Thomas Alexander",https://www.parliament.qld.gov.au/members/former/bio?id=1843294723,Legislative Council,4 May 1904 - 28 Oct 1914,28 October 1914
"JOHNSON, Vaughan Gregory",https://www.parliament.qld.gov.au/members/former/bio?id=857846161,Gregory,2 Dec 1989 - 30 Jan 2015,
"JOHNSTON, James",https://www.parliament.qld.gov.au/members/former/bio?id=3254696237,Bulimba,7 Jul 1876 - 3 Nov 1876,3 November 1876
"JOHNSTON, John",https://www.parliament.qld.gov.au/members/former/bio?id=4008180423,Ipswich,12 Aug 1870 - 9 Oct 1872,9 October 1872
"JOHNSTONE, Amanda",https://www.parliament.qld.gov.au/members/former/bio?id=2768546820,Townsville,21 Mar 2009 - 23 Mar 2012,
"JONES, Alfred James",https://www.parliament.qld.gov.au/members/former/bio?id=3908584905,"Burnett, Legislative Council, Maryborough, Paddington",27 Aug 1904 - 11 May 1932,7 October 1945
"JONES, Hon Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=1056623107,"Burke, Charters Towers",2 Nov 1929 - 28 May 1960,30 June 1976
"JONES, George Hall",https://www.parliament.qld.gov.au/members/former/bio?id=3845218552,Burnett,12 May 1888 - 12 Jun 1891,2 September 1899
